id,sex,exp,1stMove,cross,distance_moved,time_novel,total_time,distance_moved_st,time_novel_st,pc1,pc2
P2,m,1,273,2000,26395,0,1845,14.306233062330623,0,0.5032908976959827,0.006731290550123249
P2,m,2,7,437,54019,851,1819,29.69708631115998,0.4678394722374931,-1.9150496356348194,-0.8918830359518573
P3,f,1,6,201,22304,385,1846,12.08234019501625,0.2085590465872156,-1.4413300424218494,-0.6364661018802812
P3,f,2,253,261,159561,667,1818,87.76732673267327,0.36688668866886687,-1.9245944318760728,-0.09400369610448789
P4,f,1,2000,2000,0,0,1846,0,0,1.5901647653446118,0.09724968787539254
P4,f,2,244,325,33066,1511,1858,17.796555435952637,0.8132400430570506,-2.5709237723621174,-1.6160943413893234
P5,f,1,430,626,255322,738,1828,139.67286652078775,0.4037199124726477,-1.8525599271142923,0.4455000702015776
P5,f,2,196,264,73527,802,1823,40.33296763576522,0.43993417443773997,-1.9148482621553409,-0.7252229612260419
P6,f,1,429,495,14857,890,1828,8.12746170678337,0.486870897155361,-1.5712144500597427,-1.0848697085584118
P6,f,2,155,326,20639,323,1823,11.32144816236972,0.17718047174986287,-1.1874438000528285,-0.5528857437272926
P8,f,1,152,789,39861,391,1823,21.865606143719145,0.21448162369720242,-0.9736161304576185,-0.4571842637113899
P8,f,2,505,839,35360,16,1847,19.14455874390904,0.008662696264212236,-0.2596871304533339,-0.06103974002011743
P9,f,1,1623,1703,14657,122,1824,8.03563596491228,0.0668859649122807,0.963602061086513,-0.026084551019929125
P9,f,2,2000,2000,0,0,1847,0,0,1.5901647653446118,0.09724968787539254
P10,m,1,2000,2000,0,0,932,0,0,1.5901647653446118,0.09724968787539254
P10,m,2,232,409,61301,150,1821,33.66337177375069,0.08237232289950576,-0.9659617955370695,-0.1303439339354111
P13,m,1,195,292,96858,1536,1825,53.072876712328764,0.8416438356164384,-2.8383750441647586,-1.3114956839401586
P13,m,2,234,261,69693,592,1817,38.356081452944416,0.3258117776554761,-1.6334403360994987,-0.5358218808074287
P14,m,1,2000,2000,0,0,1857,0,0,1.5901647653446118,0.09724968787539254
P14,m,2,2000,2000,0,0,1815,0,0,1.5901647653446118,0.09724968787539254
P15,f,1,54,275,40006,1476,1823,21.945145364783325,0.8096544157981349,-2.7306584911515897,-1.5986767745826567
P15,f,2,2000,2000,0,0,1817,0,0,1.5901647653446118,0.09724968787539254
P11,f,1,13,2000,0,0,1823,0,0,0.4101246103776795,-0.177780656375053
P11,f,2,2000,2000,0,0,1821,0,0,1.5901647653446118,0.09724968787539254
P16,f,1,60,2000,103930,0,1946,53.40698869475848,0,0.20941059999268954,0.3831841388127197
P17,m,1,167,2000,31586,0,2034,15.529006882989185,0,0.4351050957808993,0.00475387614168057
P18,m,1,2000,2000,0,0,2034,0,0,1.5901647653446118,0.09724968787539254
P19,f,1,2000,2000,0,0,1946,0,0,1.5901647653446118,0.09724968787539254
P20,m,1,2000,2000,0,0,1819,0,0,1.5901647653446118,0.09724968787539254
P21,m,1,2000,2000,0,0,1819,0,0,1.5901647653446118,0.09724968787539254
P22,f,1,12,7,970649,514,1995,486.5408521303258,0.25764411027568923,-3.72134015581258,4.1794245287837635
P16,f,2,1044,2000,14914,0,1824,8.176535087719298,0,0.9874128201841662,0.04981201419886654
P17,m,2,625,2000,1612,0,1832,0.8799126637554585,0,0.7698125947106198,-0.0839357021116823
P19,f,2,130,292,346807,370,1827,189.8232074438971,0.2025177887246853,-2.047720140195637,1.2473618322342994
P20,m,2,132,836,230808,546,1833,125.91816693944354,0.2978723404255319,-1.5806549605133546,0.47593924576919894
P21,m,2,177,2000,19727,0,1833,10.762138570649208,0,0.46145006459868876,-0.04335052554338079
P22,f,2,2000,2000,0,0,1824,0,0,1.5901647653446118,0.09724968787539254
P24,f,1,361,2000,9192,0,1824,5.0394736842105265,0,0.595221810761331,-0.07729360425804091
P25,m,1,2000,2000,0,0,1866,0,0,1.5901647653446118,0.09724968787539254
P24,f,2,2000,2000,0,0,1847,0,0,1.5901647653446118,0.09724968787539254
P25,m,2,2000,2000,0,0,1847,0,0,1.5901647653446118,0.09724968787539254
P26,m,1,575,2000,12341,0,1862,6.62781954887218,0,0.7155127518978115,-0.03118297425137054
P26,m,2,2000,2000,0,0,2112,0,0,1.5901647653446118,0.09724968787539254
P27,m,1,956,2000,0,0,2112,0,0,0.9701537327399428,-0.04725543512282846
P27,m,2,2000,2000,0,0,1817,0,0,1.5901647653446118,0.09724968787539254
P28,m,1,485,511,62413,682,2034,30.684857423795478,0.3352999016715831,-1.287165543989392,-0.5687921367905339
P28,m,2,849,859,549120,443,1962,279.8776758409786,0.22579001019367992,-1.6373140006328297,2.3057117607337707
