id,sex,exp,1stMove,cross,distance_moved,time_novel,total_time
P2,m,1,273,2000,26395,0,1845
P2,m,2,7,437,54019,851,1819
P3,f,1,6,201,22304,385,1846
P3,f,2,253,261,159561,667,1818
P4,f,1,2000,2000,0,0,1846
P4,f,2,244,325,33066,1511,1858
P5,f,1,430,626,255322,738,1828
P5,f,2,196,264,73527,802,1823
P6,f,1,429,495,14857,890,1828
P6,f,2,155,326,20639,323,1823
P8,f,1,152,789,39861,391,1823
P8,f,2,505,839,35360,16,1847
P9,f,1,1623,1703,14657,122,1824
P9,f,2,2000,2000,0,0,1847
P10,m,1,2000,2000,0,0,932
P10,m,2,232,409,61301,150,1821
P13,m,1,195,292,96858,1536,1825
P13,m,2,234,261,69693,592,1817
P14,m,1,2000,2000,0,0,1857
P14,m,2,2000,2000,0,0,1815
P15,f,1,54,275,40006,1476,1823
P15,f,2,2000,2000,0,0,1817
P11,f,1,13,2000,0,0,1823
P11,f,2,2000,2000,0,0,1821
P16,f,1,60,2000,103930,0,1946
P17,m,1,167,2000,31586,0,2034
P18,m,1,2000,2000,0,0,2034
P19,f,1,2000,2000,0,0,1946
P20,m,1,2000,2000,0,0,1819
P21,m,1,2000,2000,0,0,1819
P22,f,1,12,7,970649,514,1995
P16,f,2,1044,2000,14914,0,1824
P17,m,2,625,2000,1612,0,1832
P19,f,2,130,292,346807,370,1827
P20,m,2,132,836,230808,546,1833
P21,m,2,177,2000,19727,0,1833
P22,f,2,2000,2000,0,0,1824
P24,f,1,361,2000,9192,0,1824
P25,m,1,2000,2000,0,0,1866
P24,f,2,2000,2000,0,0,1847
P25,m,2,2000,2000,0,0,1847
P26,m,1,575,2000,12341,0,1862
P26,m,2,2000,2000,0,0,2112
P27,m,1,956,2000,0,0,2112
P27,m,2,2000,2000,0,0,1817
P28,m,1,485,511,62413,682,2034
P28,m,2,849,859,549120,443,1962
