id,sex,group,exp,exp_date,latency,prey1,unpalatable_50,total_50,palatable_50,unpalatable_consumed,total_consumed,palatable_consumed,prey1_2,percent_unpalatable_50,percent_unpalatable_consumed,group2
P9,f,Y,1,11-13-2023,55,P,NA,NA,NA,1,3,2,1,NA,0.3333333333333333,YR
P2,m,R,1,11-13-2023,1,P,3,5,2,3,7,4,1,0.6,0.42857142857142855,RY
P3,f,R,1,11-13-2023,1,U,1,4,3,2,6,4,0,0.25,0.3333333333333333,RY
P6,f,R,1,11-13-2023,2,P,1,4,3,4,8,4,1,0.25,0.5,RY
P4,f,Y,1,11-13-2023,55,U,2,4,2,4,7,3,0,0.5,0.5714285714285714,YR
P10,m,Y,1,11-13-2023,2,P,1,4,3,4,8,4,1,0.25,0.5,YR
P8,f,R,1,11-13-2023,1,U,3,4,1,4,8,4,0,0.75,0.5,RY
P5,f,R,1,11-13-2023,1,P,2,4,2,4,8,4,1,0.5,0.5,RY
P5,f,R,2,11-14-2023,1,P,1,4,3,4,8,4,1,0.25,0.5,RY
P4,f,Y,2,11-14-2023,1,P,2,3,1,3,5,2,1,0.6666666666666666,0.6,YR
P3,f,R,2,11-14-2023,7,P,1,5,4,1,5,4,1,0.2,0.2,RY
P8,f,R,2,11-14-2023,1,U,2,5,3,4,8,4,0,0.4,0.5,RY
P2,m,R,2,11-14-2023,1,P,0,4,4,4,8,4,1,0,0.5,RY
P10,m,Y,2,11-14-2023,1,P,0,3,3,2,5,3,1,0,0.4,YR
P9,f,Y,2,11-14-2023,21,U,NA,NA,NA,0,1,1,0,NA,0,YR
P6,f,Y,2,11-14-2023,1,P,2,4,2,4,8,4,1,0.5,0.5,RY
P2,m,R,3,11-15-2023,3,P,1,5,4,4,8,4,1,0.2,0.5,RY
P4,f,Y,3,11-15-2023,19,U,1,3,2,3,6,3,0,0.3333333333333333,0.5,YR
P5,f,R,3,11-15-2023,1,P,2,4,2,3,7,4,1,0.5,0.42857142857142855,RY
P8,f,R,3,11-15-2023,1,P,0,2,2,0,4,4,1,0,0,RY
P9,f,Y,3,11-15-2023,54,P,0,2,2,0,2,2,1,0,0,YR
P3,f,R,3,11-15-2023,1,P,1,4,3,4,8,4,1,0.25,0.5,RY
P6,f,Y,3,11-15-2023,1,P,1,4,3,4,8,4,1,0.25,0.5,RY
P10,m,Y,3,11-15-2023,56,U,2,4,2,3,7,4,0,0.5,0.42857142857142855,YR
P4,f,Y,4,11-16-2023,33,P,0,3,3,1,5,4,1,0,0.2,YR
P10,m,Y,4,11-16-2023,67,P,1,3,2,3,6,3,1,0.3333333333333333,0.5,YR
P2,m,R,4,11-16-2023,1,P,1,4,3,3,7,4,1,0.25,0.42857142857142855,RY
P9,f,Y,4,11-16-2023,23,P,NA,NA,NA,0,2,2,1,NA,0,YR
P3,f,R,4,11-16-2023,1,U,1,5,4,3,7,4,0,0.2,0.42857142857142855,RY
P8,f,R,4,11-16-2023,1,P,1,4,3,3,7,4,1,0.25,0.42857142857142855,RY
P5,f,R,4,11-16-2023,1,P,0,4,4,3,7,4,1,0,0.42857142857142855,RY
P6,f,Y,4,11-16-2023,1,P,2,4,2,3,7,4,1,0.5,0.42857142857142855,RY
P4,f,Y,5,11-17-2023,2,P,1,4,3,4,8,4,1,0.25,0.5,YR
P2,m,R,5,11-17-2023,1,P,1,4,3,4,8,4,1,0.25,0.5,RY
P3,f,R,5,11-17-2023,1,U,1,4,3,3,7,4,0,0.25,0.42857142857142855,RY
P5,f,R,5,11-17-2023,1,P,3,4,1,3,7,4,1,0.75,0.42857142857142855,RY
P6,f,Y,5,11-17-2023,4,P,3,4,1,4,6,2,1,0.75,0.6666666666666666,RY
P9,f,Y,5,11-17-2023,32,P,0,2,2,0,2,2,1,0,0,YR
P10,m,Y,5,11-17-2023,18,P,1,4,3,4,8,4,1,0.25,0.5,YR
P8,f,R,5,11-17-2023,1,U,4,4,0,4,8,4,0,1,0.5,RY
P3,f,Y,6,11-18-2023,1,U,2,5,3,1,4,3,0,0.4,0.25,RY
P2,m,Y,6,11-18-2023,2,U,3,4,1,4,8,4,0,0.75,0.5,RY
P4,f,R,6,11-18-2023,3,U,1,3,2,2,5,3,0,0.3333333333333333,0.4,YR
P5,f,Y,6,11-18-2023,2,U,1,2,1,1,4,3,0,0.5,0.25,RY
P9,f,R,6,11-18-2023,30,P,1,3,2,1,4,3,1,0.3333333333333333,0.25,YR
P6,f,R,6,11-18-2023,12,U,2,4,2,0,4,4,0,0.5,0,RY
P10,m,R,6,11-18-2023,18,U,3,4,1,4,7,3,0,0.75,0.5714285714285714,YR
P8,f,Y,6,11-18-2023,1,P,0,4,4,4,8,4,1,0,0.5,RY
P4,f,R,7,11-19-2023,1,U,1,2,1,2,4,2,0,0.5,0.5,YR
P5,f,Y,7,11-19-2023,2,U,2,3,1,3,5,2,0,0.6666666666666666,0.6,RY
P6,f,R,7,11-19-2023,2,P,1,3,2,1,3,2,1,0.3333333333333333,0.3333333333333333,RY
P9,f,R,7,11-19-2023,5,P,1,2,1,2,4,2,1,0.5,0.5,YR
P8,f,Y,7,11-19-2023,1,U,2,4,2,4,7,3,0,0.5,0.5714285714285714,RY
P3,f,Y,7,11-19-2023,1,P,1,4,3,1,5,4,1,0.25,0.2,RY
P10,m,R,7,11-19-2023,2,U,NA,NA,NA,2,3,1,0,NA,0.6666666666666666,YR
P2,m,Y,7,11-19-2023,1,P,3,4,1,3,4,1,1,0.75,0.75,RY
P8,f,Y,8,11-20-2023,1,U,2,3,1,2,4,2,0,0.6666666666666666,0.5,RY
P9,f,R,8,11-20-2023,414,U,NA,NA,NA,0,0,0,0,NA,NA,YR
P6,f,R,8,11-20-2023,1,P,1,4,3,2,6,4,1,0.25,0.3333333333333333,RY
P3,f,Y,8,11-20-2023,1,P,2,6,4,3,7,4,1,0.3333333333333333,0.42857142857142855,RY
P2,m,Y,8,11-20-2023,3,P,0,4,4,3,7,4,1,0,0.42857142857142855,RY
P10,m,R,8,11-20-2023,21,U,2,3,1,3,5,2,0,0.6666666666666666,0.6,YR
P4,f,R,8,11-20-2023,7,P,0,3,3,2,4,2,1,0,0.5,YR
P5,f,Y,8,11-20-2023,33,U,2,2,0,3,4,1,0,1,0.75,RY
P10,m,R,9,11-21-2023,1,P,0,2,2,2,4,2,1,0,0.5,YR
P8,f,Y,9,11-21-2023,1,P,1,4,3,2,6,4,1,0.25,0.3333333333333333,RY
P3,f,Y,9,11-21-2023,1,P,0,4,4,1,5,4,1,0,0.2,RY
P2,m,Y,9,11-21-2023,2,P,2,4,2,2,5,3,1,0.5,0.4,RY
P6,f,R,9,11-21-2023,1,P,1,4,3,2,6,4,1,0.25,0.3333333333333333,RY
P9,f,R,9,11-21-2023,32,P,0,3,3,0,3,3,1,0,0,YR
P5,f,Y,9,11-21-2023,1,U,1,4,3,4,8,4,0,0.25,0.5,RY
P4,f,R,9,11-21-2023,1,U,2,4,2,3,7,4,0,0.5,0.42857142857142855,YR
P10,m,R,10,11-22-2023,8,U,NA,NA,NA,2,3,1,0,NA,0.6666666666666666,YR
P8,f,Y,10,11-22-2023,1,P,2,3,1,4,5,1,1,0.6666666666666666,0.8,RY
P3,f,Y,10,11-22-2023,1,U,2,5,3,2,6,4,0,0.4,0.3333333333333333,RY
P4,f,R,10,11-22-2023,1,P,0,2,2,2,4,2,1,0,0.5,YR
P9,f,R,10,11-22-2023,60,U,NA,NA,NA,0,0,0,0,NA,NA,YR
P2,m,Y,10,11-22-2023,3,P,2,4,2,2,6,4,1,0.5,0.3333333333333333,RY
P5,f,Y,10,11-22-2023,1,P,2,4,2,4,8,4,1,0.5,0.5,RY
P6,f,R,10,11-22-2023,66,P,0,3,3,1,5,4,1,0,0.2,RY
P13,m,Y,1,11-27-2023,1,U,1,4,3,4,8,4,0,0.25,0.5,YR
P15,f,Y,1,11-27-2023,1,P,0,4,4,3,7,4,1,0,0.42857142857142855,YR
P11,f,R,1,11-27-2023,2,P,1,3,2,0,3,3,1,0.3333333333333333,0,RY
P14,m,R,1,11-27-2023,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RY
P14,m,R,2,11-28-2023,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RY
P11,f,R,2,11-28-2023,6,NA,NA,NA,NA,0,2,2,NA,NA,0,RY
P13,m,Y,2,11-28-2023,1,U,1,4,3,4,8,4,0,0.25,0.5,YR
P15,f,Y,2,11-28-2023,1,U,1,4,3,3,7,4,0,0.25,0.42857142857142855,YR
P11,f,R,3,11-29-2023,23,U,NA,NA,NA,0,2,2,0,NA,0,RY
P14,m,R,3,11-29-2023,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RY
P15,f,Y,3,11-29-2023,2,U,2,3,1,2,4,2,0,0.6666666666666666,0.5,YR
P13,m,Y,3,11-29-2023,35,U,NA,NA,NA,2,2,0,0,NA,1,YR
P14,m,R,4,11-30-2023,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RY
P11,f,R,4,11-30-2023,6,U,NA,NA,NA,1,2,1,0,NA,0.5,RY
P15,f,Y,4,11-30-2023,3,P,1,3,2,2,5,3,1,0.3333333333333333,0.4,YR
P13,m,Y,4,11-30-2023,1,P,0,4,4,3,7,4,1,0,0.42857142857142855,YR
P14,m,R,5,12-01-2023,267,P,NA,NA,NA,0,1,1,1,NA,0,RY
P13,m,Y,5,12-01-2023,2,P,2,4,2,4,8,4,1,0.5,0.5,YR
P15,f,Y,5,12-01-2023,1,U,2,5,3,4,7,3,0,0.4,0.5714285714285714,YR
P11,f,R,5,12-01-2023,2,U,2,3,1,2,5,3,0,0.6666666666666666,0.4,RY
P15,f,R,6,12-02-2023,1,P,1,3,2,1,4,3,1,0.3333333333333333,0.25,YR
P13,m,R,6,12-02-2023,5,U,1,3,2,3,5,2,0,0.3333333333333333,0.6,YR
P14,m,Y,6,12-02-2023,610,P,NA,NA,NA,0,1,1,1,NA,0,RY
P11,f,Y,6,12-02-2023,11,P,NA,NA,NA,1,2,1,1,NA,0.5,RY
P13,m,R,7,12-03-2023,1,U,1,4,3,4,8,4,0,0.25,0.5,YR
P15,f,R,7,12-03-2023,1,U,2,3,1,4,5,1,0,0.6666666666666666,0.8,YR
P14,m,Y,7,12-03-2023,146,P,NA,NA,NA,0,1,1,1,NA,0,RY
P11,f,Y,7,12-03-2023,1,U,1,3,2,2,5,3,0,0.3333333333333333,0.4,RY
